2022-11-14 00:24:10.751 | INFO     | __main__:clients_first_load:952 - c_11 | Сценарий | Первичная выгрузка: False
2022-11-14 00:24:10.752 | INFO     | __main__:check_if_tables_must_be_updated:724 - c_11 | Сценарий | Необходима выгрузка реализации из WB: False
2022-11-14 00:24:10.752 | INFO     | __main__:check_if_tables_must_be_updated:731 - c_11 | Сценарий | Необходима выгрузка склада из WB: True
2022-11-14 00:24:10.752 | INFO     | __main__:get_actual_part_start_date:968 - c_11 | Начинаем выгрузку с даты: 2022-10-01 00:00:00
2022-11-14 00:24:14.145 | INFO     | __main__:load_report_from_bq:428 - c_11 | Получение таблицы report из BQ | Выполнено запросов: 1 из 1
2022-11-14 00:24:14.210 | SUCCESS  | __main__:load_report_from_bq:430 - c_11 | Таблица report получена из BQ
2022-11-14 00:24:14.211 | INFO     | __main__:load_from_wb:455 - c_11 | Началась загрузка таблицы stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:15.244 | SUCCESS  | __main__:load_from_wb:481 - c_11 | Загружена таблица stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:15.248 | INFO     | __main__:delete_actual_part_from_bq:514 - c_11 | Началось удаление строк из таблицы stocks | Выполнено запросов: 0 из 1
2022-11-14 00:24:18.007 | INFO     | __main__:delete_actual_part_from_bq:522 - c_11 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:24:18.008 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_11 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_11_stocks по id, которые будут заменены новыми данными
2022-11-14 00:24:23.219 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_11 | Таблица stocks записана в BQ
2022-11-14 00:24:23.373 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:24:23.373 | INFO     | __main__:load_from_wb:455 - c_11 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:24.627 | SUCCESS  | __main__:load_from_wb:481 - c_11 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:26.800 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_11 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_11_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:24:31.798 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_11 | Таблица orders записана в BQ
2022-11-14 00:24:31.981 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:24:31.982 | INFO     | __main__:load_from_wb:455 - c_11 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:33.261 | SUCCESS  | __main__:load_from_wb:481 - c_11 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:24:35.699 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_11 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_11_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:24:38.987 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_11 | Таблица sales записана в BQ
2022-11-14 00:24:39.165 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:24:39.165 | INFO     | __main__:make_main_table:184 - c_11 | Началось формирование таблицы main
2022-11-14 00:24:39.177 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 1145
2022-11-14 00:24:39.334 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 1145
